Barrio;Anyo;Intervenciones
Ciudad de Madrid;2006;10205
Centro;2006;2385
Arganzuela;2006;486
Retiro;2006;708
Salamanca;2006;403
Chamartín;2006;383
Tetuán;2006;570
Chamberí;2006;205
Fuencarral-El Pardo;2006;238
Moncloa-Aravaca;2006;381
Latina;2006;436
Carabanchel;2006;631
Usera;2006;430
Puente de Vallecas;2006;767
Moratalaz;2006;148
Ciudad Lineal;2006;534
Hortaleza;2006;113
Villaverde;2006;537
Villa de Vallecas;2006;393
Vicálvaro;2006;139
San Blas/Canillejas;2006;228
Barajas;2006;81
Otras zonas;2006;9
Ciudad de Madrid;2007;12203
Centro;2007;2671
Arganzuela;2007;585
Retiro;2007;621
Salamanca;2007;384
Chamartín;2007;350
Tetuán;2007;663
Chamberí;2007;310
Fuencarral-El Pardo;2007;295
Moncloa-Aravaca;2007;321
Latina;2007;429
Carabanchel;2007;951
Usera;2007;570
Puente de Vallecas;2007;1304
Moratalaz;2007;170
Ciudad Lineal;2007;689
Hortaleza;2007;182
Villaverde;2007;551
Villa de Vallecas;2007;535
Vicálvaro;2007;145
San Blas/Canillejas;2007;347
Barajas;2007;95
Otras zonas;2007;35
Ciudad de Madrid;2008;15361
Centro;2008;3964
Arganzuela;2008;847
Retiro;2008;556
Salamanca;2008;510
Chamartín;2008;481
Tetuán;2008;854
Chamberí;2008;382
Fuencarral-El Pardo;2008;641
Moncloa-Aravaca;2008;359
Latina;2008;567
Carabanchel;2008;1188
Usera;2008;770
Puente de Vallecas;2008;1282
Moratalaz;2008;244
Ciudad Lineal;2008;814
Hortaleza;2008;270
Villaverde;2008;572
Villa de Vallecas;2008;378
Vicálvaro;2008;167
San Blas/Canillejas;2008;348
Barajas;2008;147
Otras zonas;2008;20
Ciudad de Madrid;2009;15338
Centro;2009;3997
Arganzuela;2009;841
Retiro;2009;453
Salamanca;2009;482
Chamartín;2009;453
Tetuán;2009;729
Chamberí;2009;438
Fuencarral-El Pardo;2009;622
Moncloa-Aravaca;2009;413
Latina;2009;514
Carabanchel;2009;1135
Usera;2009;661
Puente de Vallecas;2009;1322
Moratalaz;2009;414
Ciudad Lineal;2009;885
Hortaleza;2009;285
Villaverde;2009;634
Villa de Vallecas;2009;338
Vicálvaro;2009;178
San Blas/Canillejas;2009;373
Barajas;2009;165
Otras zonas;2009;6
Ciudad de Madrid;2010;15624
Centro;2010;3568
Arganzuela;2010;678
Retiro;2010;447
Salamanca;2010;652
Chamartín;2010;459
Tetuán;2010;884
Chamberí;2010;567
Fuencarral-El Pardo;2010;651
Moncloa-Aravaca;2010;439
Latina;2010;683
Carabanchel;2010;1221
Usera;2010;694
Puente de Vallecas;2010;1491
Moratalaz;2010;341
Ciudad Lineal;2010;1002
Hortaleza;2010;224
Villaverde;2010;459
Villa de Vallecas;2010;421
Vicálvaro;2010;193
San Blas/Canillejas;2010;359
Barajas;2010;181
Otras zonas;2010;10
Ciudad de Madrid;2011;20687
Centro;2011;4286
Arganzuela;2011;886
Retiro;2011;460
Salamanca;2011;1367
Chamartín;2011;661
Tetuán;2011;962
Chamberí;2011;1055
Fuencarral-El Pardo;2011;657
Moncloa-Aravaca;2011;457
Latina;2011;1135
Carabanchel;2011;1974
Usera;2011;1092
Puente de Vallecas;2011;2209
Moratalaz;2011;464
Ciudad Lineal;2011;903
Hortaleza;2011;255
Villaverde;2011;602
Villa de Vallecas;2011;431
Vicálvaro;2011;172
San Blas/Canillejas;2011;433
Barajas;2011;208
Otras zonas;2011;18
Ciudad de Madrid;2012;17746
Centro;2012;4159
Arganzuela;2012;743
Retiro;2012;377
Salamanca;2012;1327
Chamartín;2012;690
Tetuán;2012;741
Chamberí;2012;666
Fuencarral-El Pardo;2012;593
Moncloa-Aravaca;2012;394
Latina;2012;905
Carabanchel;2012;1329
Usera;2012;839
Puente de Vallecas;2012;1795
Moratalaz;2012;317
Ciudad Lineal;2012;641
Hortaleza;2012;221
Villaverde;2012;743
Villa de Vallecas;2012;406
Vicálvaro;2012;287
San Blas/Canillejas;2012;376
Barajas;2012;176
Otras zonas;2012;21
Ciudad de Madrid;2013;15864
Centro;2013;3617
Arganzuela;2013;389
Retiro;2013;584
Salamanca;2013;356
Chamartín;2013;1457
Tetuán;2013;569
Chamberí;2013;1389
Fuencarral-El Pardo;2013;411
Moncloa-Aravaca;2013;217
Latina;2013;357
Carabanchel;2013;291
Usera;2013;1191
Puente de Vallecas;2013;698
Moratalaz;2013;794
Ciudad Lineal;2013;802
Hortaleza;2013;753
Villaverde;2013;700
Villa de Vallecas;2013;467
Vicálvaro;2013;167
San Blas/Canillejas;2013;515
Barajas;2013;137
Otras zonas;2013;3
Ciudad de Madrid;2014;15315
Centro;2014;3047
Arganzuela;2014;675
Retiro;2014;332
Salamanca;2014;1018
Chamartín;2014;891
Tetuán;2014;711
Chamberí;2014;461
Fuencarral-El Pardo;2014;522
Moncloa-Aravaca;2014;312
Latina;2014;616
Carabanchel;2014;1227
Usera;2014;870
Puente de Vallecas;2014;1521
Moratalaz;2014;154
Ciudad Lineal;2014;599
Hortaleza;2014;298
Villaverde;2014;608
Villa de Vallecas;2014;535
Vicálvaro;2014;292
San Blas/Canillejas;2014;450
Barajas;2014;168
Otras zonas;2014;8
Ciudad de Madrid;2015;13220
Centro;2015;2184
Arganzuela;2015;713
Retiro;2015;323
Salamanca;2015;1021
Chamartín;2015;630
Tetuán;2015;552
Chamberí;2015;445
Fuencarral-El Pardo;2015;418
Moncloa-Aravaca;2015;360
Latina;2015;682
Carabanchel;2015;1177
Usera;2015;823
Puente de Vallecas;2015;998
Moratalaz;2015;106
Ciudad Lineal;2015;508
Hortaleza;2015;279
Villaverde;2015;580
Villa de Vallecas;2015;397
Vicálvaro;2015;363
San Blas/Canillejas;2015;439
Barajas;2015;212
Otras zonas;2015;10
Ciudad de Madrid;2016;12291
Centro;2016;2381
Arganzuela;2016;672
Retiro;2016;331
Salamanca;2016;864
Chamartín;2016;572
Tetuán;2016;488
Chamberí;2016;493
Fuencarral-El Pardo;2016;288
Moncloa-Aravaca;2016;336
Latina;2016;441
Carabanchel;2016;1247
Usera;2016;857
Puente de Vallecas;2016;820
Moratalaz;2016;141
Ciudad Lineal;2016;500
Hortaleza;2016;242
Villaverde;2016;503
Villa de Vallecas;2016;405
Vicálvaro;2016;227
San Blas/Canillejas;2016;271
Barajas;2016;209
Otras zonas;2016;3